,name,doctor,funding_employees_ratio,has_super_founder,has_strong_founder,growth_stage_num,target,pca_0,pca_1,pca_2,pca_3
279,MagIA Diagnostic,0,0.0,0,0,2.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
280,MAPPEM Geophysics,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
281,MastOR,0,490000.0,1,1,1.0,1,-0.17051033486288708,-0.11947555327497328,-0.12881957557560203,-0.1371785523990101
282,MATERR'UP,0,0.0,0,0,1.0,1,-0.05572676178457808,-0.05714936804579372,-0.3939065308830036,0.7213311597272006
283,Mathym,0,311111.1111111111,0,0,1.0,1,-0.1506952564247192,-0.1744566044839307,-0.05408032034826885,-0.0663673816488888
284,McPhy Energy,0,292592.5925925926,1,1,3.0,1,1.6680017880036744,-0.34047437269835845,-0.45966427519752934,-0.5176080749568036
285,Medappcare,0,0.0,0,0,1.0,1,-0.10545545249356619,-0.060189519833499946,-0.09139696168370583,-0.05997814683479873
286,MedDay,0,512195.1219512195,0,0,3.0,1,0.22350631675661514,0.8942543169983295,1.4982980177935352,0.12877455759735715
287,MedinCell,0,119122.25517241379,0,0,3.0,1,-0.052600777609856715,-0.4945206715900648,0.8012760107575458,0.15956755024157526
288,Meersens,0,0.0,0,0,2.0,1,-0.0776183906719091,-0.09321177699490817,-0.13240019657056148,-0.041835715785928505
289,M2i Life Sciences,0,1090909.0909090908,0,0,3.0,1,0.5948002414285277,-0.32370844853955844,-0.06915312108213272,-0.16720424225369263
290,Metron,1,139534.88372093023,0,0,3.0,1,-0.07995893756308922,-0.10844968066265188,-0.15646741552119733,-0.06936160650994319
291,Microbs,0,250000.0,0,0,1.0,1,-0.07552988656245721,-0.13021238345873296,-0.14034150609122834,-0.14080797795803712
292,MilliDrop,0,295000.0,0,0,1.0,1,0.07825879395309375,-0.23251271391233128,0.6793734171172536,0.1792922156383994
293,Mipsology,0,0.0,0,0,2.0,1,-0.1808862021029145,0.026385357369918976,-0.12941910161588854,-0.14513182123039164
294,MirSense,0,28338.2,0,0,2.0,1,-0.179088355860309,-0.12917961215501067,-0.1291782237193188,-0.14685826583058617
295,Mistic,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
296,Miuros,0,95238.09523809524,0,0,2.0,1,0.12838364808244115,1.3168034313469947,0.33164417870084567,-0.19687642472872516
297,Mob-Energy,0,210000.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
298,Molsid,0,38994.8,0,0,1.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
299,Moovency,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
300,MORPHOSENSE,0,250000.0,0,0,2.0,1,0.015924593923903854,0.05748590698834618,-0.4352454573089786,0.929962940497686
301,MT-act,0,25000.0,0,0,1.0,1,-0.05767746159091077,-0.3291023335002433,0.20380578202562932,0.03928103908397879
302,Multiposting,0,1609090.0,0,0,1.0,1,-0.14754756816708103,0.124686678200164,-0.11463706651837148,-0.10667970085549193
